name,notes,status,weekly_downloads_num,rename
at,,,108820,
before,,,10780,
camelCase,- Renamed to `camel`.,yes,13160000,camel
capitalize,,100,1530000,
castArray,"- If the given value is an array, the array is shallow copied.
- We also have `castArrayIfExists` which is similar but null/undefined are returned as is.",yes,1320000,
chunk,,,545550,
clamp,,,117040,
clone,- Unsure about the differences as of now. [Help wanted](https://github.com/radashi-org/radashi/issues/113).,yes,872070,
cloneDeep,- Ours accepts a custom strategy (similar to `cloneDeepWith`).,yes,10690000,
cloneDeepWith,,,106830,
compact,,,259400,
cond,,,124420,
countBy,,,20240,
create,,,180340,
debounce,"- No `leading` or `trailing` option. Only a trailing debounce is supported.
- No `maxWait` option. The function may be debounced indefinitely if called frequently enough.
- The `pending` method is renamed to `isPending`.",yes,19990000,
deburr,,,1170000,
defaults,,,10350000,
defaultsDeep,,,1000000,
defaultTo,,,12050,
defer,,,47690,
delay,,,16170,
difference,"- Renamed to `diff`.
- Requires two arrays exactly. No more, no less.
- Supports an “identity function” that enables comparison through a property or other computation.",yes,6330000,diff
differenceBy,,,25330,
differenceWith,,,108720,
endsWith,,,72220,
eq,,,152320,
escape,,,2830000,
escapeRegExp,,,3810000,
every,,,320420,
filter,- “Collection” polymorphism is unaligned with Radashi's vision.,no,965000,
findKey,,,47800,
findLast,,,64540,
first,,,12180,
flatMap,,,363230,
flatten,- Renamed to `flat`.,yes,8240000,flat
flattenDeep,- Use `Array.prototype.flat` instead.,no,5470000,
flow,"- Renamed to `chain`.
- Full type safety with TypeScript (to a max of 10 functions).
- Instead of taking an array of functions, each function is an argument to `chain`.",yes,924480,chain
flowRight,,,27150,
forEach,- “Collection” polymorphism is unaligned with Radashi's vision.,no,1870000,
forOwn,,,293740,
get,- “Key arrays” are not supported. Only string-based JSON paths.,yes,11970000,
groupBy,"- Renamed to `group`.
- Property shorthand not supported (but coming soon).",yes,2450000,group
has,,,1280000,
hasIn,,,101670,
head,,,103550,
indexOf,,,175570,
initial,,,41240,
inRange,,,31450,
intersection,,,292640,
intersectionBy,,,11220,
intersectionWith,,,11200,
invert,,,60380,
invoke,,,41170,
invokeMap,,,344470,
isArguments,,,5930000,
isBoolean,- Boxed values (e.g. `new Boolean(true)`) are not supported.,yes,11610000,
isDate,,,77450,
isEmpty,- There are likely quite a bit of differences here. [Help wanted](https://github.com/radashi-org/radashi/issues/85) on this!,yes,2680000,
isEqualWith,,,327560,
isError,,,130170,
isFunction,,100,5020000,
isLength,,,38600,
isMatch,,,2800000,
isNil,,,2230000,
isNull,,,33040,
isNumber,- Boxed numbers (e.g. `new Number(0)`) are not supported.,yes,10800000,
isObject,"- Returns `false` for RegExp, Date, and other built-in, complex objects.
- Returns `false` for arrays.
- Returns `false` for functions.",yes,3430000,
